Geological domain,Administrative region,Auteurs,Titre,Evaluated geosites,Geosite's type,Coordinates,,,,,,,,,,,
,,,,Exfoliation,,"29°52'19.64""N","5°32'50.50""W",,,,,,,,,,
Meseta,Marrakech-Safi,"Bouari et al., 2021",The Heritage Interest of the Koudiat Ferjane Outcrops of Jebel Ardouz in the M’zoudia Region and Their Protection,Jbel Ardouz,,"31°33'30.73""N","8°37'51.85""W",,,,,,,,,,
,,,,Aguelmam-n-Tghalouine,,"33°23'10.93""N","5° 5'42.35""W",,,,,,,,,,
,,,,Habri,,"33°22'57.70""N","5° 9'20.94""W",,,,,,,,,,
,,,,Mijmouane,,"33°21'51.61""N","5° 9'35.21""W",,,,,,,,,,
,,,,Lachmin n'Ait el Haj,,"33°22'53.35""N","5° 4'15.89""W",,,,,,,,,,
,,,,Hebri,,"33°21'34.29""N","5° 8'26.84""W",,,,,,,,,,
,,,,Carry of Ouest Hebri,,"33°20'50.27""N","5° 9'39.72""W",,,,,,,,,,
,,,,Boutjetiout,,"33°20'40.73""N","5° 7'37.04""W",,,,,,,,,,
,,,,Taïssaouite,,"33°19'7.07""N","5° 6'35.31""W",,,,,,,,,,
,,,,Tit Ouagmar,,"33°19'29.24""N","5° 8'13.91""W",,,,,,,,,,
,,,,Bou Ahsine,,"33°19'21.06""N","5° 5'44.62""W",,,,,,,,,,
,,,,Bou-Tagarouine,,"33°16'55.26""N","5° 6'6.10""W",,,,,,,,,,
,,,,Foum El Kheneg,,"33° 7'52.30""N","5° 2'28.68""W",,,,,,,,,,
,,,,Aghbalou Aberchane,,"33° 7'27.05""N","5° 3'7.59""W",,,,,,,,,,
,,,,Aguelmane Sidi Ali,,"33° 5'7.35""N","4°59'42.91""W",,,,,,,,,,
,,,,Tamarrkoit,,"33° 3'44.20""N","5° 3'46.78""W",,,,,,,,,,
Middle Atlas,Fez-Meknes,"Mounir et al., 2019",The Middle Atlas Geological karsts forms: Towards Geosites characterization,Bab Boudir,,34°04'N,4°07'W,,,,,,,,,,
,,,,Tazekka,,34°11'N,4°12'W,,,,,,,,,,
,,,,Taza,,34°13'N,4°01'W,,,,,,,,,,
,,,,Chaara Chasm,,"33°57'24.56""N","4°14'49.28""W",,,,,,,,,,
,,,,Chiker Cave,,"34° 6'46.60""N","4° 2'43.33""W",,,,,,,,,,
,,,,Iferouato Chasm,,"34° 6'14.46""N","4° 4'18.69""W",,,,,,,,,,
,,,,Izoura Chasm,,"34° 4'57.77""N","4° 6'27.90""W",,,,,,,,,,
Western High Atlas,Souss-Massa,"Lkebir et al., 2020",Short report: The Anza tracksite: Ichnological heritage and geoeducational significance of dinosaur and pterosaur tracks in coastal Morocco,Anza tracksite,,"30°26'41.73""N","9°39'35.35""W",,,,,,,,,,
Rif,Tanger-Al Hoceima,"Aoulad-Sidi-Mhend et al., 2026",Strategic Framework to Reinforce the Application for the UNESCO Global Geopark Label: The Case of Chefchaouen Geopark (NW Morocco),Cascade of Akchor,,"35°14'19.00""N","5°10'35.51""W",,,,,,,,,,
